,0,1
0,0.113933,0.8591491
1,0.26195592,0.7148367
2,0.3216689,0.67172647
3,0.8433653,0.15272403
4,0.060178667,0.90897673
5,0.80708754,0.19386962
6,0.0,0.9747471
7,0.02109927,0.95021164
8,0.99627125,0.004925251
9,0.012418807,0.99344945
10,0.721858,0.27196315
11,0.08173683,0.91210806
12,0.23863861,0.77842975
13,0.8467074,0.13886335
14,0.08905056,0.8922422
15,0.9650126,0.0319705
16,0.026645243,0.9498744
17,0.8452295,0.09191379
18,0.7867943,0.2035223
19,0.9154363,0.062452435
20,0.17864469,0.8027309
21,0.8776243,0.100152045
22,0.13515285,0.8443781
23,0.03902158,0.94613826
24,0.89260006,0.10258508
25,0.8976389,0.08841887
26,0.83196044,0.16802686
27,0.08998141,0.8454877
28,0.92532456,0.09019244
29,0.9632963,0.039190114
30,0.147356,0.83879364
31,0.7720114,0.22592694
32,0.7198223,0.2716701
33,0.8199649,0.17370695
34,0.71897256,0.42275763
35,0.1470905,0.84009314
36,0.93367445,0.07772565
37,0.101444095,0.88636005
38,0.2524308,0.72617567
39,0.27849483,0.44302607
40,0.16195258,0.82159746
41,0.057612717,0.93645954
42,0.15029436,0.83681345
43,0.87419724,0.108409226
44,0.94391996,0.037813306
45,0.9307954,0.06929493
46,0.8972825,0.09005606
47,0.9012935,0.07583934
48,0.04871905,0.91661775
49,0.8987738,0.11092579
50,0.9630034,0.028478086
51,0.04556763,0.93622667
52,0.26713258,0.6415793
53,0.14274278,0.8427112
54,0.7679063,0.19118568
55,0.06384602,0.9073907
56,0.008567244,0.9793004
57,0.04011315,0.931799
58,0.8722707,0.12871021
59,0.09964031,0.845079
60,0.011818439,0.964883
61,0.026266813,0.94446814
62,0.056277543,0.93424296
63,0.85065955,0.14379948
64,0.99962825,0.024479568
65,0.02252078,0.95359445
66,0.8938067,0.09426677
67,0.10791582,0.874154
68,0.88910156,0.12357837
69,0.67012864,0.31997776
70,0.30589688,0.7488582
71,0.08142629,0.90278804
72,0.8858069,0.11521232
73,0.09001616,0.8759922
74,0.051646054,0.9245162
75,0.91430235,0.036154807
76,0.12928388,0.87690973
77,0.05528575,0.920663
78,0.051592797,0.9316082
79,0.8026706,0.18758002
80,0.89139843,0.09899473
81,0.021199644,0.9671947
82,0.82419133,0.16535443
83,0.99999994,0.0
84,0.035499603,0.94475687
85,0.58341295,0.42760843
86,0.2200367,0.7607938
87,0.78318536,0.21445581
88,0.0029112399,1.0
89,0.56720763,0.5245345
90,0.9037929,0.101154536
91,0.080687314,0.8942585
92,0.14582267,0.8396206
93,0.072681844,0.9044614
94,0.12536898,0.8614544
95,0.0017978251,0.9793955
96,0.7512351,0.21765265
97,0.89250857,0.10852593
98,0.05155325,0.9400515
99,0.985077,0.031318724
100,0.020038188,0.96867454
101,0.8899523,0.10956359
102,0.041385233,0.93376976
103,0.85569286,0.11194086
104,0.6776744,0.28843597
105,0.8721678,0.11576554
106,0.35898688,0.24973491
107,0.7970302,0.19440565
108,0.99029034,0.0030974746
109,0.064721584,0.9115222
110,0.84886307,0.16417727
111,0.06048441,0.92278194
112,0.7632945,0.23170772
113,0.8863887,0.09923124
114,0.070539325,0.9138243
115,0.0043235123,0.96798086
116,0.6824505,0.3160485
117,0.85628784,0.13054612
118,0.35915798,0.62529004
119,0.1390667,0.807948
120,0.078238636,0.8925582
121,0.32601422,0.80972725
122,0.8769022,0.12208757
123,0.11103201,0.87285364
124,0.09382844,0.8730922
125,0.046660244,0.9302434
126,0.032642096,0.94360155
127,0.8990301,0.11548582
