,0,1,2,3,4
0,0.051819805,0.19075978,0.3150706,0.6103914,0.6252358
1,0.6510681,0.16900915,0.31982234,0.4929902,0.13612676
2,0.29093128,0.5247799,0.39395216,0.19906762,0.5201259
3,0.47463,0.13614358,0.66576415,0.46780068,0.37846792
4,0.18132924,0.32201374,0.46567175,0.46580118,0.06494069
5,0.10820573,0.23591985,0.6475668,0.518738,0.55622476
6,0.5396222,0.11321645,0.40876815,0.019792018,0.38188604
7,0.44792813,0.34675878,0.61618084,0.015478841,0.46291867
8,0.08009186,0.6447877,0.6137491,0.053334266,0.49642795
9,0.2917657,0.6124561,0.06944631,0.2666133,0.57107913
